,var_type,in_degree,out_degree,betweenness,pagerank,eigenvector
resource_use_factor_1,constant,0,1,0.0,0.0006492933606488698,0.02282894898341048
resource_use_intensity,component,2,0,0.0,0.003151745555776766,0.027815789706282557
saveper,component,1,0,0.0,0.0012011780613725915,1.8783742370320584e-29
time_step,constant,0,1,0.0,0.0006492933606488698,1.8783742370320584e-29
service_capital_investment,component,2,1,0.01836905604421528,0.004709111202106984,0.04863047459306855
service_capital_depreciation,component,2,1,0.005261517204192363,0.004825479106942394,0.0245013076826385
service_capital_output_ratio,component,4,1,0.0037589246597435864,0.0018105507517550338,0.1451151704129482
service_capital_output_ratio_1,constant,0,1,0.0,0.0006492933606488698,0.022035062441414986
service_capital_output_ratio_2,constant,0,1,0.0,0.0006492933606488698,0.022035062441414986
social_family_size_normal_table,lookup,0,1,0.0,0.0006492933606488698,0.005232405641259957
urban_and_industrial_land_required_per_capita,component,3,1,0.007395152618082555,0.001421303030093899,0.037192878015064976
urban_and_industrial_land_required_per_capita_table,lookup,0,1,0.0,0.0006492933606488698,0.005648635116443051
